Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Nike,Nylon,Small,9.0,No,No,Tote,Black,9.333158930197255,116.65511085532866
Adidas,Polyester,Large,,No,No,Backpack,Gray,26.25860238449264,127.22565719985256
Under Armour,Nylon,Medium,7.0,No,No,Backpack,Blue,15.049937609787314,132.13124896103784
Under Armour,Canvas,Large,8.0,Yes,No,Tote,Green,17.426660289768147,
Puma,,Large,1.0,No,Yes,Backpack,Black,12.771515740543972,86.33444765378914
Adidas,,Medium,10.0,Yes,No,Tote,Black,11.035304057507275,115.39278956513492
Under Armour,Nylon,Large,9.0,Yes,Yes,Backpack,Black,5.015398922622542,131.1559725830533
Puma,Canvas,Large,6.0,Yes,No,Messenger,Pink,8.258988993203236,
Jansport,Polyester,Large,4.0,Yes,No,Messenger,Red,17.61333496013849,150.0
Jansport,Canvas,Large,10.0,No,No,Tote,,30.0,114.61145163215696
Jansport,Nylon,Large,3.0,Yes,Yes,Backpack,Black,11.08053795503281,128.5003718251346
,Nylon,Large,5.0,No,No,Messenger,Gray,12.081849145279412,21.085836446531232
Jansport,Canvas,Large,2.0,Yes,No,,Gray,9.500740649973569,136.9974531353039
,Canvas,Small,2.0,Yes,No,,Green,26.04040413418569,53.57216293499032
,Canvas,Small,1.0,No,No,Messenger,Blue,10.394768244138726,30.193463783764663
Adidas,Canvas,Large,1.0,Yes,No,Messenger,Pink,29.120409596561,74.5207445577287
Adidas,Polyester,Small,9.0,Yes,Yes,Tote,Blue,12.574051096339163,72.96716634664249
Jansport,Polyester,Large,9.0,Yes,Yes,Backpack,Green,30.0,114.6498944004645
Under Armour,Leather,Small,1.0,No,No,,Black,22.78704791672948,62.60187274577545
Nike,Canvas,Medium,9.0,Yes,No,Messenger,Green,29.050565921686648,90.8970694312974
Adidas,Leather,Small,3.0,Yes,Yes,Messenger,Pink,22.205452662348243,71.03756838245951
Nike,Canvas,Small,10.0,No,No,Tote,Pink,8.818791083911035,96.08717170025508
Puma,Nylon,Small,8.0,Yes,Yes,Messenger,Black,23.13081232141515,75.0265825777046
Under Armour,Canvas,Small,6.0,Yes,Yes,Backpack,Black,23.025542420407238,35.73220348785358
Nike,Canvas,Small,7.0,Yes,No,Tote,Blue,18.79054074645564,79.01706883273468
Under Armour,Polyester,Small,7.0,Yes,Yes,Tote,Gray,29.22289945676085,36.44447331664919
Jansport,Polyester,Medium,7.0,No,Yes,Messenger,Gray,20.19201584356016,66.28296164919352
Nike,Nylon,Large,9.0,No,No,Tote,Red,25.7931345677128,
Jansport,Polyester,Large,4.0,No,No,Backpack,Gray,14.024093825928988,113.47159220229818
Under Armour,Leather,Large,5.0,Yes,Yes,Messenger,Green,14.552007687043854,116.32553631949656
Adidas,Nylon,Small,1.0,Yes,Yes,Backpack,Green,15.25735819097337,58.79908368333082
Under Armour,Leather,Large,8.0,Yes,Yes,Messenger,Pink,7.4043958460446015,150.0
Nike,Polyester,Medium,5.0,Yes,No,Backpack,Black,23.47615077005489,33.26893835047377
Nike,Polyester,Medium,5.0,Yes,No,Backpack,Blue,14.89916587818636,83.19961547334559
Puma,Nylon,Medium,8.0,Yes,Yes,Tote,Blue,23.03228577700304,30.67572552274777
Puma,Leather,Large,6.0,Yes,Yes,Messenger,Blue,8.85208525574593,23.74631823083624
Jansport,Canvas,Medium,5.0,Yes,No,Messenger,Red,23.50369704534401,56.43390580679216
Adidas,Leather,Medium,,No,Yes,Tote,Pink,16.380881282851632,115.2937285449974
Puma,Leather,Small,3.0,Yes,Yes,Messenger,Pink,24.39526236745902,98.8375234342948
Under Armour,Canvas,Medium,10.0,Yes,No,,Black,15.76566534748537,114.1873185254322
Puma,Nylon,Large,6.0,No,Yes,Tote,Pink,10.106650148682576,31.380862163626755
Under Armour,Leather,Small,1.0,Yes,No,Messenger,,9.57217196881837,115.41809432462692
,Canvas,Medium,5.0,No,Yes,,Black,28.106231303450013,
Puma,Nylon,Medium,4.0,No,No,Backpack,Gray,14.154679356129032,25.262950090968808
Under Armour,Polyester,Small,8.0,Yes,No,Tote,Green,13.9183200588172,31.87572196081212
Nike,Polyester,Small,7.0,No,No,Backpack,Green,5.0,29.792501967666656
Nike,Polyester,Medium,9.0,No,Yes,Backpack,Green,11.660270606074938,110.41081925094788
,Leather,Large,10.0,No,No,Messenger,Red,27.069798041846912,100.12628331447064
Under Armour,Canvas,Small,5.0,Yes,No,Backpack,Blue,21.0656962461425,26.582150126088077
Puma,Canvas,Medium,5.0,No,No,Backpack,Gray,7.6146450807095185,126.85143035736844
Nike,Leather,Small,6.0,Yes,No,Messenger,Black,20.29236935229149,93.1287834142828
Nike,Leather,Large,,Yes,Yes,Messenger,Gray,11.548419674908908,57.549244444567606
Jansport,Canvas,,2.0,Yes,No,Backpack,Green,30.0,22.353009743157948
Nike,Leather,Large,6.0,No,Yes,Backpack,Blue,8.99218739061249,66.38389812685455
Puma,Leather,Large,6.0,Yes,Yes,Messenger,Red,9.160090532908749,85.83419520048211
,Leather,Medium,,No,Yes,Tote,Blue,6.650179290067982,35.35172029523455
Jansport,Nylon,Medium,8.0,Yes,Yes,,Pink,9.142985724223117,94.22499744695446
Nike,Nylon,Large,9.0,Yes,No,Backpack,Green,13.292413208474834,56.7047652784548
,Nylon,Medium,3.0,No,Yes,Backpack,Green,15.084574070863386,59.01605931507594
Under Armour,Leather,,7.0,No,Yes,Tote,Pink,28.143898610723493,103.24587554481354
Adidas,Canvas,Small,6.0,No,Yes,Tote,Gray,8.339825066833251,136.72946430017075
Adidas,Leather,Large,7.0,Yes,Yes,Messenger,Gray,13.484741243437457,
Nike,Leather,Large,10.0,Yes,No,Tote,Red,15.632083254445607,46.434217510708045
Nike,Leather,Medium,8.0,No,No,Tote,Gray,12.854240618969092,26.316503250949776
Jansport,Polyester,Small,7.0,,No,Backpack,Black,22.2764626078772,52.09829827309531
Jansport,Polyester,Small,9.0,Yes,Yes,Backpack,Gray,23.319518943515597,104.81103332455044
Adidas,Polyester,,1.0,No,Yes,Backpack,Red,6.335455115946244,
Nike,Nylon,Medium,1.0,Yes,Yes,Backpack,Pink,5.936283953291853,71.23857865560646
Puma,Nylon,Small,8.0,Yes,Yes,Tote,Pink,24.90568069499433,27.68279527272192
Jansport,Leather,Medium,4.0,Yes,Yes,Backpack,Red,23.804585172704485,48.848745752038965
Puma,Polyester,Small,4.0,No,,Backpack,Black,5.236874493764306,132.7447802302369
Adidas,Canvas,Medium,4.0,Yes,No,Tote,Black,12.611362873517612,29.11165310805473
Nike,Leather,Medium,2.0,,Yes,Backpack,Green,,25.412250770061185
Nike,Canvas,Medium,9.0,No,No,Tote,Gray,10.384894478704895,150.0
Nike,Polyester,Medium,3.0,No,Yes,Messenger,Gray,8.737398556557695,77.17100489519437
Adidas,Canvas,Large,8.0,Yes,No,Messenger,Red,28.622360197300345,
Nike,Canvas,Small,8.0,Yes,No,Messenger,Red,25.36592092993435,150.0
Under Armour,Nylon,Large,9.0,No,,,Red,9.76541527537344,20.755470039145216
Nike,Polyester,Large,5.0,No,Yes,Tote,Gray,16.35085799899143,150.0
Adidas,Canvas,Small,6.0,No,No,Messenger,Gray,9.216477693888498,41.94776158304835
Adidas,Leather,Small,4.0,No,No,Backpack,Pink,16.372849510124702,100.16784854271909
Under Armour,Polyester,Medium,7.0,Yes,Yes,Backpack,Blue,6.890312943257978,79.97857904024256
Under Armour,Nylon,Small,10.0,No,Yes,Tote,Green,18.78658633359109,86.21898492733536
Puma,Canvas,Small,8.0,Yes,Yes,Backpack,Green,28.551368470889784,76.50479480597893
Under Armour,Nylon,Medium,5.0,Yes,Yes,Tote,Black,22.891857756719457,113.6712916789886
Adidas,Nylon,Large,6.0,Yes,Yes,Messenger,Gray,9.919514384867576,45.13317892383442
Jansport,Polyester,Small,5.0,Yes,No,Tote,Blue,23.14782252149842,139.0840663294161
Nike,Polyester,Large,9.0,No,No,Backpack,Pink,26.528087360135363,107.46328869711569
Adidas,Canvas,Small,10.0,Yes,No,Messenger,Gray,9.714504801381326,29.73707391704449
Puma,Canvas,Large,7.0,No,No,Tote,Red,24.384200309716288,102.114127179438
Adidas,Nylon,Medium,5.0,Yes,No,Tote,Blue,29.545858265305963,44.48952280170261
Under Armour,Nylon,Medium,6.0,No,Yes,Tote,Black,27.068873916873297,78.55141787570301
Jansport,Canvas,Medium,6.0,,No,Messenger,Red,10.918033238957882,29.549155128930707
Under Armour,Canvas,Large,4.0,No,Yes,Messenger,Red,27.895694868587643,93.14794793268064
Jansport,Leather,Small,4.0,No,No,Backpack,Gray,22.061334300611797,
Nike,Canvas,Large,3.0,No,Yes,Backpack,Green,15.066518179176615,101.85947714739793
Nike,Polyester,Large,8.0,No,Yes,Messenger,Green,25.061692785607207,34.686102271936306
Puma,Polyester,Large,7.0,Yes,Yes,Backpack,Gray,29.939533424646864,18.51499370618045
Puma,Canvas,Small,7.0,Yes,No,Tote,Green,21.860264725457835,114.24529923599856
Nike,Leather,Large,1.0,Yes,No,Backpack,Blue,13.098928668563875,42.786151427422354
Nike,Polyester,Small,1.0,Yes,No,,Green,12.613553741419532,106.62807511641806
,Leather,Large,7.0,Yes,Yes,Tote,Black,20.575760829879687,27.729647981419387
Jansport,Nylon,Medium,4.0,Yes,No,Backpack,Black,20.866002478388477,85.57820515693825
Nike,Nylon,Small,1.0,Yes,Yes,Backpack,Red,30.0,61.47018538054688
Puma,Polyester,Medium,10.0,No,No,Messenger,Black,5.611919442749379,30.78624343339585
Under Armour,Nylon,Large,10.0,No,Yes,Backpack,Black,,63.65692350301767
Jansport,Nylon,Large,4.0,No,No,Messenger,Black,16.754569808367922,28.055780477475555
Under Armour,Nylon,Large,4.0,Yes,Yes,Tote,Blue,19.28246519524256,125.0693936474011
Under Armour,Canvas,Small,10.0,,No,Backpack,Blue,5.0,136.67093723707245
Nike,Nylon,Small,6.0,Yes,Yes,Tote,Gray,,63.60669782682097
Nike,Canvas,Small,2.0,No,No,Tote,Green,14.72938370494618,67.0773569871035
Nike,Leather,Medium,9.0,Yes,No,Messenger,Black,25.390125901039056,49.8050491225623
Jansport,Polyester,Large,3.0,Yes,No,,Red,9.363015317346797,35.62074971306434
Under Armour,Leather,Large,10.0,No,No,Messenger,Black,5.282300987342934,84.20175985771365
Jansport,Polyester,Large,,Yes,No,Backpack,Black,5.0,29.06224532655544
Under Armour,Polyester,Small,5.0,Yes,,Tote,Black,9.428040501175383,128.08836283225756
Adidas,Nylon,Large,9.0,No,Yes,Messenger,Gray,10.188777530846838,88.0293698103055
Puma,Canvas,Medium,7.0,No,Yes,Messenger,Pink,5.214974810849556,126.64940642914166
Adidas,Leather,Small,1.0,No,Yes,Backpack,Red,10.702131231755548,
Nike,Leather,Small,2.0,Yes,Yes,Tote,Pink,11.522557314203452,77.57151091811987
Nike,Leather,Medium,7.0,Yes,Yes,Backpack,Red,6.62247190664446,102.5465336349119
Adidas,,Small,8.0,No,No,Messenger,Green,29.94668207526877,92.80473621127167
Adidas,Canvas,Large,6.0,Yes,No,Messenger,Red,21.25491292660913,86.1111965843974
Nike,Canvas,Large,8.0,Yes,Yes,Tote,Red,5.0,
Under Armour,Canvas,Medium,5.0,No,No,Tote,Blue,22.74004107632016,72.33315074400556
,Nylon,Large,7.0,Yes,Yes,Backpack,Gray,29.08535509690021,18.264913888075117
Nike,Leather,Small,8.0,No,Yes,Tote,Black,5.0,72.86240849437311
Adidas,Polyester,Medium,2.0,Yes,No,Tote,Black,28.39612378542506,80.13500314264375
Puma,Leather,Medium,1.0,No,Yes,Tote,Green,19.21399748008949,147.16718693475087
Adidas,Leather,Medium,2.0,No,No,Messenger,Red,10.836570479239674,45.06738472123848
Puma,Leather,Medium,3.0,Yes,Yes,Messenger,Blue,23.631600467671472,105.1074691316662
Jansport,Canvas,Large,1.0,Yes,No,Backpack,Green,25.71560953134073,
Under Armour,Leather,Medium,1.0,Yes,Yes,Tote,Blue,29.40615979916907,134.25795430133175
Puma,Canvas,Large,5.0,Yes,No,Backpack,Gray,23.78775018023409,62.084151322180254
Puma,Polyester,Large,8.0,Yes,Yes,Backpack,Pink,15.990842916537842,68.7044691408496
Puma,Canvas,Medium,5.0,Yes,No,Backpack,Gray,28.28669554655658,92.46316176867342
Jansport,Leather,,5.0,Yes,No,Messenger,Black,11.523933005708267,120.88207326570377
Adidas,Polyester,Large,3.0,No,No,Messenger,Gray,6.952944822078708,134.16094930718023
Adidas,Polyester,Large,4.0,No,Yes,Messenger,Green,,95.992852095795
Jansport,Leather,Small,3.0,Yes,No,,Gray,14.778507141682676,40.47815080985778
Under Armour,Canvas,Large,1.0,No,No,Tote,Blue,17.943800432571656,59.83456047519206
Puma,Canvas,Large,10.0,Yes,No,Messenger,Black,9.21325357281647,110.03782247057642
Jansport,Polyester,Large,4.0,No,Yes,Messenger,Black,18.951190823206176,111.05098277079315
Under Armour,Polyester,Medium,6.0,No,Yes,,,20.776954310677716,90.2400167772762
Adidas,Polyester,Small,5.0,Yes,Yes,Messenger,Red,12.79258431234966,90.09816138258624
Nike,Polyester,Small,1.0,No,No,Backpack,Black,23.976208448118744,150.0
,Canvas,Large,4.0,No,No,Backpack,Pink,14.093128029950984,95.5141143119913
Nike,Leather,Small,10.0,No,No,Backpack,Gray,5.4755375483699815,65.42314925639253
Under Armour,Canvas,Large,2.0,No,Yes,Backpack,Green,6.382735175920396,115.75917008162136
Jansport,Canvas,Large,5.0,No,Yes,Messenger,Pink,7.5955213148089635,38.64907746818271
Adidas,,Small,5.0,No,No,Tote,Red,7.819079769707699,98.79908214411316
Nike,Polyester,Large,4.0,Yes,Yes,Backpack,,13.455709048613942,126.26583101605335
Adidas,Canvas,Small,4.0,No,No,Backpack,Blue,25.11543328252303,106.82566885884972
Under Armour,Nylon,Large,7.0,No,Yes,Backpack,Black,13.077947799164146,66.6619589633332
Under Armour,Polyester,Large,8.0,No,Yes,Tote,Red,19.050786076909723,18.043851313813583
Puma,Canvas,Large,10.0,No,Yes,Tote,Red,17.630798471547045,118.53231176582877
